A	Een
killer	moordenaar
asteroid	asteroïde
to	te
to	om
our	ons
our	onze
earth	aarde
at	op
sixty	60
seven	zeven
miles	mijl
miles	km
miles	kilometer
an	een
hour.	uur
hour.	uur.
met	ontmoet.
de	de
chimney	schoorsteen
like	als
tower	toren
from	van
from	uit
the	de
bottom	bodem
of	van
ocean	oceaan
floor.	verdieping.
die	sterven
die	sterven.
young	jong
young	jonge
man	man
sea	zee
voyage	reis
foundation	stichting
world.	wereld
world.	wereld.
De	De
van	van
van	busje
'n	'n
An	Een
expedition	expeditie
back	naar
back	terug
back	weer
through	door
time	tijd
time	keer
into	in
heart	hart
human	menselijk
human	menselijke
human	mens
We	We
in	in
Of	Natuurlijk
Of	Natuurlijk.
all	allemaal
discoveries	ontdekkingen
science,	wetenschap
science,	wetenschap,
few	paar
have	hebben
have	heb
power	macht
power	kracht
compare	met
compare	vergelijken
Or	Of
potential	potentieel
potential	potentiële
for	voor
And	En
those	die
concerning	over
how	hoe
life	leven
on	op
begin	beginnen.
begin	beginnen
Van	Van
en	naar
en	op
en	weg
over	over
How	Hoe
species	soorten
species	soort
Why	Waarom
some	wat
some	een
survive	overleven
survive	overleven.
others	anderen
become	worden.
extinct	uitgestorven
These	Dit
These	zijn
These	Deze
are	zijn
greatest	grootste
greatest	beste
origin	oorsprong
and	en
evolution	evolutie
life.	leven
life.	leven.
't	niet
't	't
Life	Het
Life	leven
is	is
a	een
game	spel
chance.	kans.
chance.	kans
The	De
odds	kansen
odds	kans
or	of
always	altijd
changing.	veranderen.
Some	Sommige
Some	Een
changes	verandert
changes	veranderingen
result	gevolg
result	resultaat
process	proces
nature	de
nature	natuur
nature	aard
dat	dat
door	deur
Others	Anderen
happened	met
happened	er
happened	is
Like	Zoals
Like	Net
Like	als
one	één
one	een
that	die
that	dat
caused	veroorzaakt
ancient	oude
In	In
geologist	geoloog
named	genaamd
Walter	Walter
Alvarez	Alvarez
was	was
rock	steen
rock	rots
mountains	bergen
north	noorden
Rome.	Rome
Rome.	Rome.
deed	akte
deed	daad
ten	tien
Rome	Rome
When	Wanneer
When	Als
When	Toen
he	hij
came	kwam
cross	over
cross	kruis
something	iets
thin	dun
thin	dunne
layer	laag
So,	Dus
So,	Dus,
this	deze
this	dit
clay	klei
here	hier
marks	mark
between	tussen
two	twee
different	anders
different	andere
geological	geologische
what	wat
known	bekend
geology	geologie
as	zo
as	als
dramatic	dramatische
point	punt
history	geschiedenis
history	de
about	over
five	vijf
million	miljoen
years	jaar
ago.	geleden
ago.	geleden.
vanished.	verdwenen.
65	65
For	Voor
moment	moment
samples	monsters
found	gevonden.
found	vond
contain	bevatten
extremely	zeer
high	hoge
high	hoog
monsters	monsters
element	element
rare	zeldzame
rare	zeldzaam
them	ze
earth,	aarde,
earth,	aarde
but	maar
space.	ruimte
space.	de
space.	ruimte.
similar	op
around	rond
around	om
began	begon
began	te
wonder	af
wonder	vraag
wonder	me
could	kan
could	kon
could	kunnen
it	het
blank	blanco
answer	antwoord
form	vorm
gigantic	gigantische
gigantic	enorme
Over	Over
six	zes
taller	groter
taller	langer
than	dan
Mount	de
Mount	Mount
speed	snelheid
thousand	duizend
Doctor	dokter
Doctor	Dokter
Elisabeth	Elisabeth
research	onderzoek
scientist	wetenschapper
planetary	planetaire
science	de
science	wetenschap
institute	instituut
Tucson	Tucson
Arizona.	Arizona.
Arizona.	Arizona
Tucson.	Tucson.
So	Dus
much	veel
energy	energie
thing	ding
has	heeft
has	is
had	had
that's	Dat
that's	is
that's	dat
hundred	100
hundred	honderd
times	vaak
times	keer
world	wereld
nuclear	nucleaire
arsenal	arsenaal
cold	koude
cold	koud
war.	oorlog.
war.	oorlog
Ten	tien
Ten	Tien
world's	wereld
Well	Goed
really	echt
big.	groot.
Tien	Tien
was.	was
was.	was.
